DataSet,"#TrainingRelease",%training,%Defective training,%Defective testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,16.67,34.17,20.93,Random Forest,No sampling,No selection,37.0,52.0,186.0,26.0,0.4157303370786517,0.5873015873015873,0.7961517940509537,0.3202269963518443
BOOKKEEPER,1,16.67,34.17,20.93,Random Forest,No sampling,Best First,28.0,54.0,184.0,35.0,0.34146341463414637,0.4444444444444444,0.7694411097772442,0.19583946207186378
BOOKKEEPER,1,16.67,34.17,20.93,Random Forest,Oversampling,No selection,51.0,66.0,172.0,12.0,0.4358974358974359,0.8095238095238095,0.7884153661464586,0.40468583599574004
BOOKKEEPER,1,16.67,34.17,20.93,Random Forest,Oversampling,Best First,50.0,82.0,156.0,13.0,0.3787878787878788,0.7936507936507936,0.7496665332799787,0.32018638708603775
BOOKKEEPER,1,16.67,34.17,20.93,Random Forest,Undersampling,No selection,51.0,69.0,169.0,12.0,0.425,0.8095238095238095,0.7990196078431373,0.3899106673673148
BOOKKEEPER,1,16.67,34.17,20.93,Random Forest,Undersampling,Best First,52.0,89.0,149.0,11.0,0.36879432624113473,0.8253968253968254,0.767907162865146,0.31023419955085035
BOOKKEEPER,1,16.67,34.17,20.93,Random Forest,Smote,No selection,45.0,70.0,168.0,18.0,0.391304347826087,0.7142857142857143,0.8010537548352674,0.32234957020057303
BOOKKEEPER,1,16.67,34.17,20.93,Random Forest,Smote,Best First,46.0,66.0,172.0,17.0,0.4107142857142857,0.7301587301587301,0.7497999199679872,0.35215102559448175
BOOKKEEPER,1,16.67,34.17,20.93,Naive Bayes,No sampling,No selection,61.0,237.0,1.0,2.0,0.20469798657718122,0.9682539682539683,0.8211284513805522,-0.011615316468156318
BOOKKEEPER,1,16.67,34.17,20.93,Naive Bayes,No sampling,Best First,31.0,25.0,213.0,32.0,0.5535714285714286,0.49206349206349204,0.6892423636121116,0.403504502311998
BOOKKEEPER,1,16.67,34.17,20.93,Naive Bayes,Oversampling,No selection,48.0,39.0,199.0,15.0,0.5517241379310345,0.7619047619047619,0.8235961051087102,0.5245700245700247
BOOKKEEPER,1,16.67,34.17,20.93,Naive Bayes,Oversampling,Best First,43.0,32.0,206.0,20.0,0.5733333333333334,0.6825396825396826,0.7947845804988662,0.5122164048865618
BOOKKEEPER,1,16.67,34.17,20.93,Naive Bayes,Undersampling,No selection,46.0,39.0,199.0,17.0,0.5411764705882353,0.7301587301587301,0.8295985060690944,0.5018618121638395
BOOKKEEPER,1,16.67,34.17,20.93,Naive Bayes,Undersampling,Best First,40.0,36.0,202.0,23.0,0.5263157894736842,0.6349206349206349,0.7868147258903562,0.4495552180516383
BOOKKEEPER,1,16.67,34.17,20.93,Naive Bayes,Smote,No selection,61.0,237.0,1.0,2.0,0.20469798657718122,0.9682539682539683,0.8155262104841937,-0.011615316468156318
BOOKKEEPER,1,16.67,34.17,20.93,Naive Bayes,Smote,Best First,40.0,57.0,181.0,23.0,0.41237113402061853,0.6349206349206349,0.7025143390689609,0.32995714842228285
BOOKKEEPER,1,16.67,34.17,20.93,IBk,No sampling,No selection,36.0,66.0,172.0,27.0,0.35294117647058826,0.5714285714285714,0.6561958116579966,0.23958927552766685
BOOKKEEPER,1,16.67,34.17,20.93,IBk,No sampling,Best First,39.0,59.0,179.0,24.0,0.3979591836734694,0.6190476190476191,0.693844204348406,0.308199263423144
BOOKKEEPER,1,16.67,34.17,20.93,IBk,Oversampling,No selection,44.0,56.0,182.0,19.0,0.44,0.6984126984126984,0.712718420701614,0.3808792474563257
BOOKKEEPER,1,16.67,34.17,20.93,IBk,Oversampling,Best First,47.0,76.0,162.0,16.0,0.3821138211382114,0.746031746031746,0.7178204615179405,0.3160442600276625
BOOKKEEPER,1,16.67,34.17,20.93,IBk,Undersampling,No selection,45.0,71.0,167.0,18.0,0.3879310344827586,0.7142857142857143,0.7146191810057356,0.31770369049741476
BOOKKEEPER,1,16.67,34.17,20.93,IBk,Undersampling,Best First,50.0,93.0,145.0,13.0,0.34965034965034963,0.7936507936507936,0.7125183406696012,0.2746658179503501
BOOKKEEPER,1,16.67,34.17,20.93,IBk,Smote,No selection,47.0,78.0,160.0,16.0,0.376,0.746031746031746,0.7159197012138189,0.307164895440521
BOOKKEEPER,1,16.67,34.17,20.93,IBk,Smote,Best First,39.0,59.0,179.0,24.0,0.3979591836734694,0.6190476190476191,0.693844204348406,0.308199263423144
BOOKKEEPER,2,33.33,26.80,4.33,Random Forest,No sampling,No selection,8.0,68.0,352.0,11.0,0.10526315789473684,0.42105263157894735,0.7157894736842105,0.10655125331684547
BOOKKEEPER,2,33.33,26.80,4.33,Random Forest,No sampling,Best First,5.0,60.0,360.0,14.0,0.07692307692307693,0.2631578947368421,0.7274436090225563,0.055804220194152154
BOOKKEEPER,2,33.33,26.80,4.33,Random Forest,Oversampling,No selection,10.0,200.0,220.0,9.0,0.047619047619047616,0.5263157894736842,0.6453634085213033,0.008643882832168381
BOOKKEEPER,2,33.33,26.80,4.33,Random Forest,Oversampling,Best First,11.0,244.0,176.0,8.0,0.043137254901960784,0.5789473684210527,0.5985588972431077,-2.893413866686052E-4
BOOKKEEPER,2,33.33,26.80,4.33,Random Forest,Undersampling,No selection,12.0,185.0,235.0,7.0,0.06091370558375635,0.631578947368421,0.6642857142857143,0.03492179807185876
BOOKKEEPER,2,33.33,26.80,4.33,Random Forest,Undersampling,Best First,12.0,171.0,249.0,7.0,0.06557377049180328,0.631578947368421,0.6569548872180451,0.04383045372228461
BOOKKEEPER,2,33.33,26.80,4.33,Random Forest,Smote,No selection,12.0,110.0,310.0,7.0,0.09836065573770492,0.631578947368421,0.699874686716792,0.10303337233466642
BOOKKEEPER,2,33.33,26.80,4.33,Random Forest,Smote,Best First,9.0,99.0,321.0,10.0,0.08333333333333333,0.47368421052631576,0.7111528822055138,0.07353482158415482
BOOKKEEPER,2,33.33,26.80,4.33,Naive Bayes,No sampling,No selection,6.0,68.0,352.0,13.0,0.08108108108108109,0.3157894736842105,0.6489348370927318,0.06460607654873059
BOOKKEEPER,2,33.33,26.80,4.33,Naive Bayes,No sampling,Best First,7.0,78.0,342.0,12.0,0.08235294117647059,0.3684210526315789,0.6962406015037594,0.06873143826898569
BOOKKEEPER,2,33.33,26.80,4.33,Naive Bayes,Oversampling,No selection,10.0,133.0,287.0,9.0,0.06993006993006994,0.5263157894736842,0.6674185463659148,0.05094086840021911
BOOKKEEPER,2,33.33,26.80,4.33,Naive Bayes,Oversampling,Best First,11.0,129.0,291.0,8.0,0.07857142857142857,0.5789473684210527,0.7163533834586466,0.06727563158139596
BOOKKEEPER,2,33.33,26.80,4.33,Naive Bayes,Undersampling,No selection,14.0,198.0,222.0,5.0,0.0660377358490566,0.7368421052631579,0.6494360902255639,0.04537615288207139
BOOKKEEPER,2,33.33,26.80,4.33,Naive Bayes,Undersampling,Best First,12.0,147.0,273.0,7.0,0.07547169811320754,0.631578947368421,0.6901002506265664,0.06233009708737867
BOOKKEEPER,2,33.33,26.80,4.33,Naive Bayes,Smote,No selection,6.0,71.0,349.0,13.0,0.07792207792207792,0.3157894736842105,0.6644110275689223,0.05971747666887633
BOOKKEEPER,2,33.33,26.80,4.33,Naive Bayes,Smote,Best First,9.0,99.0,321.0,10.0,0.08333333333333333,0.47368421052631576,0.6944862155388472,0.07353482158415482
BOOKKEEPER,2,33.33,26.80,4.33,IBk,No sampling,No selection,8.0,106.0,314.0,11.0,0.07017543859649122,0.42105263157894735,0.5884711779448621,0.04980112848025179
BOOKKEEPER,2,33.33,26.80,4.33,IBk,No sampling,Best First,10.0,115.0,305.0,9.0,0.08,0.5263157894736842,0.6301378446115288,0.0689289501590665
BOOKKEEPER,2,33.33,26.80,4.33,IBk,Oversampling,No selection,8.0,135.0,285.0,11.0,0.055944055944055944,0.42105263157894735,0.5666040100250627,0.024206808355154888
BOOKKEEPER,2,33.33,26.80,4.33,IBk,Oversampling,Best First,12.0,153.0,267.0,7.0,0.07272727272727272,0.631578947368421,0.6600877192982456,0.05725713365366546
BOOKKEEPER,2,33.33,26.80,4.33,IBk,Undersampling,No selection,9.0,158.0,262.0,10.0,0.05389221556886228,0.47368421052631576,0.5575814536340852,0.020661815477771284
BOOKKEEPER,2,33.33,26.80,4.33,IBk,Undersampling,Best First,14.0,180.0,240.0,5.0,0.07216494845360824,0.7368421052631579,0.6533208020050125,0.057119637777906775
BOOKKEEPER,2,33.33,26.80,4.33,IBk,Smote,No selection,8.0,106.0,314.0,11.0,0.07017543859649122,0.42105263157894735,0.5884711779448621,0.04980112848025179
