Version,File Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,Age,Buggy
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,347,4,0,2,242,137,60,137,137,34,36,NO
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,436,5,1,2,340,252,68,244,252,48,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1466,14,2,3,1246,545,89,1026,545,73,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,150,3,0,3,121,81,40,92,81,30,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,210,4,0,2,195,168,48,180,168,45,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,795,9,1,3,633,487,70,471,487,52,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,216,5,1,3,210,124,42,204,124,40,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,691,7,2,3,621,536,88,551,536,78,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,187,5,0,3,168,133,33,149,133,29,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,171,3,0,3,164,151,54,157,151,52,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,147,1,0,1,147,147,147,147,147,147,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,387,5,0,3,262,126,52,137,126,27,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,289,4,0,3,280,249,70,271,249,67,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,1544,9,0,3,1046,410,116,548,410,60,36,YES
