DataSet,"#TrainingRelease",%training,%Defective training,%Defective testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
ZOOKEEPER,1,5.26,23.81,4.15,Random Forest,No sampling,No selection,0.0,3.0,182.0,8.0,0.0,0.0,0.8918918918918919,-0.023132530120481862
ZOOKEEPER,1,5.26,23.81,4.15,Random Forest,No sampling,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.4837837837837838,0.0
ZOOKEEPER,1,5.26,23.81,4.15,Random Forest,Oversampling,No selection,2.0,9.0,176.0,6.0,0.18181818181818182,0.25,0.8989864864864865,0.17072472071039788
ZOOKEEPER,1,5.26,23.81,4.15,Random Forest,Oversampling,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.4837837837837838,0.0
ZOOKEEPER,1,5.26,23.81,4.15,Random Forest,Undersampling,No selection,0.0,5.0,180.0,8.0,0.0,0.0,0.9195945945945946,-0.03293536434746798
ZOOKEEPER,1,5.26,23.81,4.15,Random Forest,Undersampling,Best First,0.0,1.0,184.0,8.0,0.0,0.0,0.4783783783783784,-0.009296920395121502
ZOOKEEPER,1,5.26,23.81,4.15,Random Forest,Smote,No selection,1.0,2.0,183.0,7.0,0.3333333333333333,0.125,0.8945945945945946,0.16289156626505902
ZOOKEEPER,1,5.26,23.81,4.15,Random Forest,Smote,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.4837837837837838,0.0
ZOOKEEPER,1,5.26,23.81,4.15,Naive Bayes,No sampling,No selection,1.0,2.0,183.0,7.0,0.3333333333333333,0.125,0.831418918918919,0.16289156626505902
ZOOKEEPER,1,5.26,23.81,4.15,Naive Bayes,No sampling,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.577027027027027,0.0
ZOOKEEPER,1,5.26,23.81,4.15,Naive Bayes,Oversampling,No selection,1.0,3.0,182.0,7.0,0.25,0.125,0.8192567567567568,0.14298401420959217
ZOOKEEPER,1,5.26,23.81,4.15,Naive Bayes,Oversampling,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.575,0.0
ZOOKEEPER,1,5.26,23.81,4.15,Naive Bayes,Undersampling,No selection,2.0,11.0,174.0,6.0,0.15384615384615385,0.25,0.793581081081081,0.14668400520156033
ZOOKEEPER,1,5.26,23.81,4.15,Naive Bayes,Undersampling,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.575,0.0
ZOOKEEPER,1,5.26,23.81,4.15,Naive Bayes,Smote,No selection,1.0,2.0,183.0,7.0,0.3333333333333333,0.125,0.8304054054054054,0.16289156626505902
ZOOKEEPER,1,5.26,23.81,4.15,Naive Bayes,Smote,Best First,0.0,6.0,179.0,8.0,0.0,0.0,0.5763513513513514,-0.03683806600153478
ZOOKEEPER,1,5.26,23.81,4.15,IBk,No sampling,No selection,6.0,19.0,166.0,2.0,0.24,0.75,0.7682432432432432,0.3209917909197516
ZOOKEEPER,1,5.26,23.81,4.15,IBk,No sampling,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.4783783783783784,0.0
ZOOKEEPER,1,5.26,23.81,4.15,IBk,Oversampling,No selection,6.0,18.0,167.0,2.0,0.25,0.75,0.831418918918919,0.3335635359116018
ZOOKEEPER,1,5.26,23.81,4.15,IBk,Oversampling,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.5216216216216216,0.0
ZOOKEEPER,1,5.26,23.81,4.15,IBk,Undersampling,No selection,5.0,15.0,170.0,3.0,0.25,0.625,0.7783783783783784,0.3166797797010228
ZOOKEEPER,1,5.26,23.81,4.15,IBk,Undersampling,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.5,0.0
ZOOKEEPER,1,5.26,23.81,4.15,IBk,Smote,No selection,6.0,20.0,165.0,2.0,0.23076923076923078,0.75,0.7658783783783784,0.30914415880247337
ZOOKEEPER,1,5.26,23.81,4.15,IBk,Smote,Best First,0.0,0.0,185.0,8.0,0.0,0.0,0.4783783783783784,0.0
ZOOKEEPER,2,10.53,13.87,8.33,Random Forest,No sampling,No selection,4.0,4.0,205.0,15.0,0.5,0.21052631578947367,0.8632586250314782,0.25974025974025927
ZOOKEEPER,2,10.53,13.87,8.33,Random Forest,No sampling,Best First,8.0,5.0,204.0,11.0,0.6153846153846154,0.42105263157894735,0.8319063208259884,0.46368715083798906
ZOOKEEPER,2,10.53,13.87,8.33,Random Forest,Oversampling,No selection,11.0,8.0,201.0,8.0,0.5789473684210527,0.5789473684210527,0.8553261143288844,0.5406698564593302
ZOOKEEPER,2,10.53,13.87,8.33,Random Forest,Oversampling,Best First,9.0,6.0,203.0,10.0,0.6,0.47368421052631576,0.7956434147569882,0.49206349206349226
ZOOKEEPER,2,10.53,13.87,8.33,Random Forest,Undersampling,No selection,13.0,17.0,192.0,6.0,0.43333333333333335,0.6842105263157895,0.8817678166708638,0.4772727272727275
ZOOKEEPER,2,10.53,13.87,8.33,Random Forest,Undersampling,Best First,12.0,25.0,184.0,7.0,0.32432432432432434,0.631578947368421,0.8249811130697557,0.3578595317725753
ZOOKEEPER,2,10.53,13.87,8.33,Random Forest,Smote,No selection,8.0,6.0,203.0,11.0,0.5714285714285714,0.42105263157894735,0.8408461344749434,0.4456521739130436
ZOOKEEPER,2,10.53,13.87,8.33,Random Forest,Smote,Best First,8.0,5.0,204.0,11.0,0.6153846153846154,0.42105263157894735,0.8259884160161168,0.46368715083798906
ZOOKEEPER,2,10.53,13.87,8.33,Naive Bayes,No sampling,No selection,2.0,10.0,199.0,17.0,0.16666666666666666,0.10526315789473684,0.7971543691765298,0.06896551724137868
ZOOKEEPER,2,10.53,13.87,8.33,Naive Bayes,No sampling,Best First,13.0,11.0,198.0,6.0,0.5416666666666666,0.6842105263157895,0.8873079828758499,0.564102564102564
ZOOKEEPER,2,10.53,13.87,8.33,Naive Bayes,Oversampling,No selection,3.0,13.0,196.0,16.0,0.1875,0.15789473684210525,0.8123898262402418,0.1030927835051552
ZOOKEEPER,2,10.53,13.87,8.33,Naive Bayes,Oversampling,Best First,13.0,18.0,191.0,6.0,0.41935483870967744,0.6842105263157895,0.8864265927977839,0.4646840148698886
ZOOKEEPER,2,10.53,13.87,8.33,Naive Bayes,Undersampling,No selection,4.0,8.0,201.0,15.0,0.3333333333333333,0.21052631578947367,0.8613699320070511,0.2068965517241378
ZOOKEEPER,2,10.53,13.87,8.33,Naive Bayes,Undersampling,Best First,14.0,20.0,189.0,5.0,0.4117647058823529,0.7368421052631579,0.8798791236464366,0.47183098591549294
ZOOKEEPER,2,10.53,13.87,8.33,Naive Bayes,Smote,No selection,3.0,8.0,201.0,16.0,0.2727272727272727,0.15789473684210525,0.8209519012843113,0.14792899408284
ZOOKEEPER,2,10.53,13.87,8.33,Naive Bayes,Smote,Best First,13.0,13.0,196.0,6.0,0.5,0.6842105263157895,0.8835305968269958,0.5327868852459013
ZOOKEEPER,2,10.53,13.87,8.33,IBk,No sampling,No selection,4.0,20.0,189.0,15.0,0.16666666666666666,0.21052631578947367,0.5574162679425837,0.10256410256410224
ZOOKEEPER,2,10.53,13.87,8.33,IBk,No sampling,Best First,8.0,5.0,204.0,11.0,0.6153846153846154,0.42105263157894735,0.7868295139763284,0.46368715083798906
ZOOKEEPER,2,10.53,13.87,8.33,IBk,Oversampling,No selection,5.0,28.0,181.0,14.0,0.15151515151515152,0.2631578947368421,0.6945353815159909,0.09677419354838711
ZOOKEEPER,2,10.53,13.87,8.33,IBk,Oversampling,Best First,9.0,6.0,203.0,10.0,0.6,0.47368421052631576,0.712540921682196,0.49206349206349226
ZOOKEEPER,2,10.53,13.87,8.33,IBk,Undersampling,No selection,14.0,50.0,159.0,5.0,0.21875,0.7368421052631579,0.7506925207756233,0.2396313364055301
