Version,File Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,Age,Buggy
1,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,29,43,3,0,1,36,27,12,29,27,9,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,175,189,4,0,2,182,173,45,175,173,43,20,NO
1,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,36,48,3,0,1,42,34,14,36,34,12,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,112,138,5,0,3,125,109,25,112,109,22,20,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,68,80,3,0,1,74,66,24,68,66,22,20,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,88,122,5,0,2,105,89,21,88,89,17,20,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,46,58,3,0,1,52,44,17,46,44,15,20,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,117,143,4,0,2,130,95,32,117,95,29,20,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,74,86,3,0,1,80,72,26,74,72,24,20,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,28,40,3,0,1,34,26,11,28,26,9,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,26,38,3,0,1,32,24,10,26,24,8,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,29,41,3,0,1,35,27,11,29,27,9,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,43,57,3,0,1,50,41,16,43,41,14,33,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,34,46,3,0,1,40,32,13,34,32,11,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,26,38,3,0,1,32,24,10,26,24,8,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,53,69,4,0,2,61,46,15,53,46,13,20,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,34,48,3,0,1,41,32,13,34,32,11,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,44,60,3,0,1,52,42,17,44,42,14,33,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,33,45,3,0,1,39,31,13,33,31,11,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,45,61,3,0,1,53,43,17,45,43,15,20,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,33,45,3,0,1,39,31,13,33,31,11,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java,38,52,3,0,1,45,36,15,38,36,12,41,NO
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerMXBean.java,33,45,3,0,1,39,31,13,33,31,11,41,NO
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java,125,235,6,0,3,180,138,30,125,138,20,20,NO
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,79,93,3,0,2,86,80,28,79,80,26,10,NO
1,src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java,115,145,4,0,2,130,111,32,115,111,28,20,NO
